Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783512945,40,,Aggregated,37.000000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1048,0,1000,962.1874319712937,105.80204194411635,1258.6833341047168,106.96374045801527
1783512946,40,,Aggregated,37.000000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1083,0,1000,964.2152056744665,105.80204194411635,1258.6833341047168,106.9769159741459
1783512947,40,,Aggregated,38.300000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1123,0,1000,966.9249864151653,105.80204194411635,1258.6833341047168,106.9786286731968
1783512948,40,,Aggregated,38.300000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1160,0,1000,969.4318427001768,105.80204194411635,1258.6833341047168,106.95603448275862
1783512949,40,,Aggregated,38.000000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1199,0,1000,970.9461377118034,105.80204194411635,1258.6833341047168,106.96914095079232
1783512950,40,,Aggregated,38.000000,0.000000,1000,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1231,0,1000,972.2051891017097,105.80204194411635,1258.6833341047168,106.96913078797725
1783512951,40,,Aggregated,36.600000,0.000000,1000,1100,1100,1100,1100,1200,1200,1200,1300,1300,1300,1274,0,1000,975.3056397117685,105.80204194411635,1258.6833341047168,106.9795918367347
1783512952,40,,Aggregated,37.400000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1305,0,1000,979.5936775821979,105.80204194411635,1276.8220831640065,106.96168582375479
1783512953,40,,Aggregated,37.400000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1345,0,1000,981.1019278166048,105.80204194411635,1276.8220831640065,106.97174721189592
1783512954,40,,Aggregated,38.200000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1385,0,1000,982.8522679920474,105.80204194411635,1276.8220831640065,106.9913357400722
1783512955,40,,Aggregated,38.500000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1427,0,1000,983.4369986573236,105.80204194411635,1276.8220831640065,106.96426068675544
1783512956,40,,Aggregated,37.100000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1461,0,1000,984.330598191944,105.80204194411635,1276.8220831640065,106.98288843258042
1783512957,40,,Aggregated,37.600000,0.000000,1000,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1496,0,1000,984.7096163943849,105.80204194411635,1276.8220831640065,106.97526737967914
